Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:66090000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
66090000;1;01/03/2012;;1;1;;;;;;0;0;0;;0;940,802;940,802;940,802;940,802;947,177;950,375;969,728;979,508;995,962;1009,265;1029,452;1036,244;1046,491;1046,491;1053,361;1046,491;1039,652;1026,068;1026,068;1012,61;1002,598;986,067;999,276;986,067;979,508;972,981;972,981;972,981;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;0;0;0;
66090000;1;01/04/2012;;1;1;;;;;;0;0;0;;0;979,508;979,508;979,508;986,067;986,067;999,276;1012,61;1026,068;1026,068;1026,068;1026,068;1026,068;1026,068;1026,068;1012,61;1009,265;999,276;999,276;986,067;979,508;966,484;960,018;940,802;934,457;915,604;969,728;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
66090000;1;01/05/2012;;1;1;;;;;;0;0;0;;0;;;;;;;;1473,701;1473,701;1473,701;1456,327;1439,097;1405,069;1388,27;1355,096;1306,387;1243,377;1190,026;1182,538;1182,538;1227,965;1258,924;1298,39;1379,923;1405,069;1439,097;1491,221;1517,775;1553,696;1590,211;1617,991;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/09/2012;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;275,947;277,842;282,616;284,54;294,287;308,285;316,472;316,472;313,386;308,285;312,362;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/10/2012;;1;1;344,033;278,793;314,021;14;28;1;1;1;;0;318,54;316,472;318,54;312,362;304,243;304,243;312,362;318,54;326,898;331,13;337,542;339,697;341,86;344,033;341,86;337,542;333,258;331,13;326,898;314,412;306,26;308,285;310,319;302,235;296,261;294,287;284,54;278,793;280,7;280,7;280,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/11/2012;;1;1;420,745;282,616;346,539;30;1;1;1;1;;0;282,616;284,54;284,54;292,321;292,321;292,321;292,321;298,244;308,285;324,796;326,898;331,13;333,258;337,542;344,033;346,214;352,81;359,486;368,513;368,513;377,682;382,321;386,996;391,707;394,077;401,239;401,239;403,645;415,813;420,745;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/12/2012;;1;1;605,075;430,721;492,151;25;1;1;1;1;;0;430,721;435,764;440,846;451,122;447,25;443,401;438,3;435,764;430,721;438,3;440,846;442,122;440,846;465,499;480,165;495,123;503,405;502,019;510,375;523,074;554,961;559,403;578,914;589,596;605,075;534,958;533,593;530,87;528,156;522,754;522,754;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/01/2013;;1;1;690,785;470,642;573,88;31;7;1;1;1;;0;520,066;508,078;498,876;488,489;478,239;475,698;470,642;473,166;475,698;512,055;528,156;533,593;541,815;544,573;555,694;558,497;564,129;569,796;581,239;592,825;625,435;634,521;643,69;649,848;660,714;679,608;687,58;681,198;682,79;682,79;690,785;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/02/2013;;1;1;840,416;697,224;754,603;28;1;1;1;1;;0;697,224;700,457;702,077;706,952;713,485;716,766;720,056;725,009;725,009;733,312;734,98;738,323;736,65;739,998;751,247;751,247;748,576;751,247;756,609;772,862;778,336;794,925;800,511;814,602;826,003;828,871;823,142;840,416;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
66090000;1;01/03/2013;;1;1;930,758;846,232;886,907;11;1;1;1;1;;0;846,232;855,011;852,078;860,9;857,952;878,744;887,766;906,011;918,324;912,152;930,758;924,526;912,152;912,152;918,324;930,758;912,152;918,324;909,078;899,899;893,818;887,766;881,744;869,789;869,789;857,952;863,856;869,789;863,856;846,232;846,232;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/04/2013;;1;1;930,758;846,232;904,982;13;1;1;1;1;;0;846,232;857,952;857,952;881,744;881,744;893,818;893,818;893,818;906,011;906,011;906,011;918,324;930,758;930,758;930,758;930,758;918,324;918,324;918,324;906,011;906,011;918,324;906,011;893,818;918,324;924,526;930,758;918,324;906,011;899,899;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/05/2013;;1;1;893,818;493,665;721,584;1;31;1;1;1;;0;893,818;869,789;863,856;857,952;857,952;846,232;846,232;857,952;857,952;869,789;846,232;846,232;811,769;794,925;746,721;733,312;713,485;710,214;690,785;668,546;646,764;625,435;607,511;592,825;578,365;561,308;543,193;522,754;512,055;501,494;493,665;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/06/2013;;1;1;485,914;450,755;472,333;21;30;1;1;1;;0;483,347;480,789;480,789;475,698;475,698;475,698;470,642;469,383;470,642;465,619;475,698;480,789;480,789;478,239;475,698;475,698;470,642;470,642;478,239;480,789;485,914;480,789;470,642;468,126;465,619;458,15;455,676;460,631;458,15;450,755;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/07/2013;;1;1;450,755;330,299;384,046;1;31;1;1;1;;0;450,755;448,308;441,015;431,408;426,654;426,654;403,382;403,382;407,971;412,592;403,382;398,827;394,303;389,812;385,354;385,354;380,928;372,172;367,842;367,842;363,545;361,408;359,279;355,044;350,842;342,531;340,473;338,422;333,331;332,318;330,299;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/08/2013;;1;1;330,299;255,761;288,081;1;31;1;1;1;;0;330,299;330,299;328,288;326,284;320,319;312,474;312,474;306,671;302,84;302,84;299,039;291,528;285,974;284,138;284,138;281,397;276,867;276,867;276,867;275,067;275,067;273,276;273,276;268,828;266,182;266,182;266,182;262,679;259,205;259,205;255,761;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/09/2013;;1;1;280,487;238,971;257,591;9;29;1;1;1;;0;255,761;254,904;264,427;263,552;260,071;263,552;269,714;266,182;280,487;278,673;262,679;266,182;267,062;267,944;266,182;267,944;267,062;260,938;257,479;255,761;250,648;247,276;242,272;241,444;243,102;244,766;240,618;239,794;238,971;242,272;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
66090000;1;01/10/2013;;1;1;332,318;232,456;298,186;24;1;1;1;1;;0;232,456;232,456;233,264;237,332;238,971;248,959;254,049;257,479;260,938;275,067;284,138;302,84;312,474;322,3;324,288;328,288;326,284;323,293;322,3;324,288;324,288;326,284;330,299;332,318;332,318;332,318;330,299;325,285;322,3;322,3;324,288;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/01/2014;;1;1;465,619;363,545;420,193;31;1;1;1;1;;0;363,545;367,842;368,922;386,466;387,579;389,812;395,431;398,827;398,827;401,1;407,971;412,592;417,247;417,247;421,934;421,934;424,29;425,471;432,601;438,6;439,807;441,015;443,437;445,868;448,308;445,868;449,531;451,983;455,676;460,631;465,619;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/02/2014;;1;1;566,958;471,903;508,851;28;1;1;1;1;;0;471,903;473,166;475,698;475,698;479,513;483,347;483,347;483,347;485,914;491,073;493,665;493,665;496,266;501,494;504,121;506,757;514,716;514,716;520,066;528,156;528,156;533,593;536,325;541,815;547,34;554,296;562,717;566,958;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
66090000;1;01/03/2014;;1;1;778,336;572,643;661,816;31;1;1;1;1;;0;572,643;578,365;578,365;584,122;589,915;595,744;604,556;610,476;613,45;619,424;625,435;631,483;639,095;646,764;649,848;656,044;662,276;670,119;676,436;687,58;694;702,077;703,7;710,214;720,056;726,665;734,98;739,998;746,721;767,417;778,336;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
66090000;1;01/04/2014;;1;1;;;;;;0;0;0;;0;789,367;811,769;834,629;852,078;937,021;955,992;988,227;1007,943;1014,578;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/05/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/06/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/07/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/08/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;401,1;396,561;393,177;392,054;390,932;388,695;389,812;387,579;382,031;377,629;371,087;370,003;364,616;358,217;353,991;350,842;345,633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
66090000;1;01/09/2014;;1;1;;;;;;0;0;0;;0;342,531;342,531;341,501;343,563;342,531;345,633;347,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/11/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/12/2014;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/01/2015;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/02/2015;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
66090000;1;01/03/2015;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
